"map_Index","Domain_RN","Domain_AN","Domains_Color","Helix_Num","Helix_Color","SS_Table"
"142","I","1","1","H9","1","ECOLI_LSU"
"143","I","1","1","H9","1","ECOLI_LSU"
"144","I","1","1","H9","1","ECOLI_LSU"
"145","I","1","1","H9","1","ECOLI_LSU"
"146","I","1","1","H9","1","ECOLI_LSU"
"147","I","1","1","H9","1","ECOLI_LSU"
"148","I","1","1","H9","1","ECOLI_LSU"
"149","I","1","1","H10","2","ECOLI_LSU"
"150","I","1","1","H10","2","ECOLI_LSU"
"151","I","1","1","H10","2","ECOLI_LSU"
"152","I","1","1","H10","2","ECOLI_LSU"
"153","I","1","1","H10","2","ECOLI_LSU"
"154","I","1","1","H10","2","ECOLI_LSU"
"155","I","1","1","H10","2","ECOLI_LSU"
"156","I","1","1","H10","2","ECOLI_LSU"
"157","I","1","1","H10","2","ECOLI_LSU"
"158","I","1","1","H10","2","ECOLI_LSU"
"159","I","1","1","H10","2","ECOLI_LSU"
"160","I","1","1","H10","2","ECOLI_LSU"
"161","I","1","1","H10","2","ECOLI_LSU"
"162","I","1","1","H10","2","ECOLI_LSU"
"163","I","1","1","H10","2","ECOLI_LSU"
"164","I","1","1","H10","2","ECOLI_LSU"
"165","I","1","1","H10","2","ECOLI_LSU"
"166","I","1","1","H10","2","ECOLI_LSU"
"167","I","1","1","H10","2","ECOLI_LSU"
"168","I","1","1","H10","2","ECOLI_LSU"
"169","I","1","1","H10","2","ECOLI_LSU"
"170","I","1","1","H10","2","ECOLI_LSU"
"171","I","1","1","H10","2","ECOLI_LSU"
"172","I","1","1","H10","2","ECOLI_LSU"
"173","I","1","1","H10","2","ECOLI_LSU"
"174","I","1","1","H10","2","ECOLI_LSU"
"175","I","1","1","H10","2","ECOLI_LSU"
"176","I","1","1","H10","2","ECOLI_LSU"
"177","I","1","1","H10","2","ECOLI_LSU"
"178","I","1","1","H11","3","ECOLI_LSU"
"179","I","1","1","H11","3","ECOLI_LSU"
"180","I","1","1","H11","3","ECOLI_LSU"
"181","I","1","1","H11","3","ECOLI_LSU"
"182","I","1","1","H11","3","ECOLI_LSU"
"183","I","1","1","H11","3","ECOLI_LSU"
"184","I","1","1","H11","3","ECOLI_LSU"
"185","I","1","1","H11","3","ECOLI_LSU"
"186","I","1","1","H11","3","ECOLI_LSU"
"187","I","1","1","H11","3","ECOLI_LSU"
"188","I","1","1","H11","3","ECOLI_LSU"
"189","I","1","1","H11","3","ECOLI_LSU"
"190","I","1","1","H11","3","ECOLI_LSU"
"191","I","1","1","H11","3","ECOLI_LSU"
"192","I","1","1","H11","3","ECOLI_LSU"
"193","I","1","1","H11","3","ECOLI_LSU"
"194","I","1","1","H11","3","ECOLI_LSU"
"195","I","1","1","H11","3","ECOLI_LSU"
"196","I","1","1","H11","3","ECOLI_LSU"
"197","I","1","1","H11","3","ECOLI_LSU"
"198","I","1","1","H11","3","ECOLI_LSU"
"199","I","1","1","H11","3","ECOLI_LSU"
"200","I","1","1","H11","3","ECOLI_LSU"
"201","I","1","1","H11","3","ECOLI_LSU"
"202","I","1","1","H11","3","ECOLI_LSU"
"203","I","1","1","H11","3","ECOLI_LSU"
"204","I","1","1","H11","3","ECOLI_LSU"
"205","I","1","1","H11","3","ECOLI_LSU"
"206","I","1","1","H11","3","ECOLI_LSU"
"207","I","1","1","H11","3","ECOLI_LSU"
"208","I","1","1","H11","3","ECOLI_LSU"
"209","I","1","1","H11","3","ECOLI_LSU"
"210","I","1","1","H11","3","ECOLI_LSU"
"211","I","1","1","H11","3","ECOLI_LSU"
"212","I","1","1","H11","3","ECOLI_LSU"
"213","I","1","1","H11","3","ECOLI_LSU"
"214","I","1","1","H11","3","ECOLI_LSU"
"215","I","1","1","H11","3","ECOLI_LSU"
"216","I","1","1","H11","3","ECOLI_LSU"
"217","I","1","1","H11","3","ECOLI_LSU"
"218","I","1","1","H11","3","ECOLI_LSU"
"219","I","1","1","H12","4","ECOLI_LSU"
"220","I","1","1","H12","4","ECOLI_LSU"
"221","I","1","1","H12","4","ECOLI_LSU"
"222","I","1","1","H12","4","ECOLI_LSU"
"223","I","1","1","H12","4","ECOLI_LSU"
"224","I","1","1","H12","4","ECOLI_LSU"
"225","I","1","1","H12","4","ECOLI_LSU"
"226","I","1","1","H12","4","ECOLI_LSU"
"227","I","1","1","H12","4","ECOLI_LSU"
"228","I","1","1","H12","4","ECOLI_LSU"
"229","I","1","1","H12","4","ECOLI_LSU"
"230","I","1","1","H12","4","ECOLI_LSU"
"231","I","1","1","H12","4","ECOLI_LSU"
"232","I","1","1","H12","4","ECOLI_LSU"
"233","I","1","1","H13","1","ECOLI_LSU"
"234","I","1","1","H13","1","ECOLI_LSU"
"235","I","1","1","H13","1","ECOLI_LSU"
"236","I","1","1","H13","1","ECOLI_LSU"
"237","I","1","1","H13","1","ECOLI_LSU"
"238","I","1","1","H13","1","ECOLI_LSU"
"239","I","1","1","H13","1","ECOLI_LSU"
"240","I","1","1","H13","1","ECOLI_LSU"
"241","I","1","1","H13","1","ECOLI_LSU"
"242","I","1","1","H13","1","ECOLI_LSU"
"243","I","1","1","H13","1","ECOLI_LSU"
"244","I","1","1","H13","1","ECOLI_LSU"
"245","I","1","1","H13","1","ECOLI_LSU"
"246","I","1","1","H13","1","ECOLI_LSU"
"247","I","1","1","H13","1","ECOLI_LSU"
"248","I","1","1","H13","1","ECOLI_LSU"
"249","I","1","1","H13","1","ECOLI_LSU"
"250","I","1","1","H13","1","ECOLI_LSU"
"251","I","1","1","H13","1","ECOLI_LSU"
"252","I","1","1","H13","1","ECOLI_LSU"
"253","I","1","1","H13","1","ECOLI_LSU"
"254","I","1","1","H13","1","ECOLI_LSU"
"255","I","1","1","H13","1","ECOLI_LSU"
"256","I","1","1","H13","1","ECOLI_LSU"
"257","I","1","1","H13","1","ECOLI_LSU"
"258","I","1","1","H13","1","ECOLI_LSU"
"259","I","1","1","H13","1","ECOLI_LSU"
"260","I","1","1","H13","1","ECOLI_LSU"
"261","I","1","1","H13","1","ECOLI_LSU"
"262","I","1","1","H13","1","ECOLI_LSU"
"263","I","1","1","H14","2","ECOLI_LSU"
"264","I","1","1","H14","2","ECOLI_LSU"
"265","I","1","1","H14","2","ECOLI_LSU"
"266","I","1","1","H14","2","ECOLI_LSU"
"267","I","1","1","H14","2","ECOLI_LSU"
"268","I","1","1","H14","2","ECOLI_LSU"
"269","I","1","1","H16","4","ECOLI_LSU"
"270","I","1","1","H16","4","ECOLI_LSU"
"271","I","1","1","H16","4","ECOLI_LSU"
"272","I","1","1","H16","4","ECOLI_LSU"
"273","I","1","1","H16","4","ECOLI_LSU"
"274","I","1","1","H16","4","ECOLI_LSU"
"275","I","1","1","H16","4","ECOLI_LSU"
"276","I","1","1","H16","4","ECOLI_LSU"
"277","I","1","1","H16","4","ECOLI_LSU"
"278","I","1","1","H16","4","ECOLI_LSU"
"279","I","1","1","H16","4","ECOLI_LSU"
"280","I","1","1","H16","4","ECOLI_LSU"
"281","I","1","1","H18","1","ECOLI_LSU"
"282","I","1","1","H18","1","ECOLI_LSU"
"283","I","1","1","H18","1","ECOLI_LSU"
"284","I","1","1","H18","1","ECOLI_LSU"
"285","I","1","1","H18","1","ECOLI_LSU"
"286","I","1","1","H18","1","ECOLI_LSU"
"287","I","1","1","H18","1","ECOLI_LSU"
"288","I","1","1","H18","1","ECOLI_LSU"
"289","I","1","1","H18","1","ECOLI_LSU"
"290","I","1","1","H18","1","ECOLI_LSU"
"291","I","1","1","H18","1","ECOLI_LSU"
"292","I","1","1","H18","1","ECOLI_LSU"
"293","I","1","1","H18","1","ECOLI_LSU"
"294","I","1","1","H18","1","ECOLI_LSU"
"295","I","1","1","H18","1","ECOLI_LSU"
"296","I","1","1","H18","1","ECOLI_LSU"
"297","I","1","1","H18","1","ECOLI_LSU"
"298","I","1","1","H18","1","ECOLI_LSU"
"299","I","1","1","H19","2","ECOLI_LSU"
"300","I","1","1","H19","2","ECOLI_LSU"
"301","I","1","1","H19","2","ECOLI_LSU"
"302","I","1","1","H19","2","ECOLI_LSU"
"303","I","1","1","H19","2","ECOLI_LSU"
"304","I","1","1","H19","2","ECOLI_LSU"
"305","I","1","1","H19","2","ECOLI_LSU"
"306","I","1","1","H19","2","ECOLI_LSU"
"307","I","1","1","H19","2","ECOLI_LSU"
"308","I","1","1","H19","2","ECOLI_LSU"
"309","I","1","1","H19","2","ECOLI_LSU"
"310","I","1","1","H19","2","ECOLI_LSU"
"311","I","1","1","H19","2","ECOLI_LSU"
"312","I","1","1","H19","2","ECOLI_LSU"
"313","I","1","1","H19","2","ECOLI_LSU"
"314","I","1","1","H19","2","ECOLI_LSU"
"315","I","1","1","H19","2","ECOLI_LSU"
"316","I","1","1","H19","2","ECOLI_LSU"
"317","I","1","1","H19","2","ECOLI_LSU"
"318","I","1","1","H19","2","ECOLI_LSU"
"319","I","1","1","H19a","3","ECOLI_LSU"
"320","I","1","1","H19a","3","ECOLI_LSU"
"321","I","1","1","H19a","3","ECOLI_LSU"
"322","I","1","1","H19a","3","ECOLI_LSU"
"323","I","1","1","H19a","3","ECOLI_LSU"
"324","I","1","1","H20","4","ECOLI_LSU"
"325","I","1","1","H20","4","ECOLI_LSU"
"326","I","1","1","H20","4","ECOLI_LSU"
"327","I","1","1","H20","4","ECOLI_LSU"
"328","I","1","1","H20","4","ECOLI_LSU"
"329","I","1","1","H20","4","ECOLI_LSU"
"330","I","1","1","H20","4","ECOLI_LSU"
"331","I","1","1","H20","4","ECOLI_LSU"
"332","I","1","1","H20","4","ECOLI_LSU"
"333","I","1","1","H20","4","ECOLI_LSU"
"334","I","1","1","H20","4","ECOLI_LSU"
"335","I","1","1","H20","4","ECOLI_LSU"
"336","I","1","1","H20","4","ECOLI_LSU"
"337","I","1","1","H20","4","ECOLI_LSU"
"338","I","1","1","H20","4","ECOLI_LSU"
"339","I","1","1","H20","4","ECOLI_LSU"
"340","I","1","1","H18","1","ECOLI_LSU"
"341","I","1","1","H18","1","ECOLI_LSU"
"342","I","1","1","H18","1","ECOLI_LSU"
"343","I","1","1","H18","1","ECOLI_LSU"
"344","I","1","1","H18","1","ECOLI_LSU"
"345","I","1","1","H18","1","ECOLI_LSU"
"346","I","1","1","H18","1","ECOLI_LSU"
"347","I","1","1","H18","1","ECOLI_LSU"
"348","I","1","1","H18","1","ECOLI_LSU"
"349","I","1","1","H18","1","ECOLI_LSU"
"350","I","1","1","H18","1","ECOLI_LSU"
"351","I","1","1","H18","1","ECOLI_LSU"
"352","I","1","1","H18","1","ECOLI_LSU"
"353","I","1","1","H18","1","ECOLI_LSU"
"354","I","1","1","H18","1","ECOLI_LSU"
"355","I","1","1","H18","1","ECOLI_LSU"
"356","I","1","1","H18","1","ECOLI_LSU"
"357","I","1","1","H18","1","ECOLI_LSU"
"358","I","1","1","H18","1","ECOLI_LSU"
"359","I","1","1","H18","1","ECOLI_LSU"
"360","I","1","1","H16","4","ECOLI_LSU"
"361","I","1","1","H16","4","ECOLI_LSU"
"362","I","1","1","H16","4","ECOLI_LSU"
"363","I","1","1","H16","4","ECOLI_LSU"
"364","I","1","1","H16","4","ECOLI_LSU"
"365","I","1","1","H16","4","ECOLI_LSU"
"366","I","1","1","H16","4","ECOLI_LSU"
"367","I","1","1","H16","4","ECOLI_LSU"
"368","I","1","1","H16","4","ECOLI_LSU"
"369","I","1","1","H16","4","ECOLI_LSU"
"370","I","1","1","H16","4","ECOLI_LSU"
"371","I","1","1","H21","1","ECOLI_LSU"
"372","I","1","1","H21","1","ECOLI_LSU"
"373","I","1","1","H21","1","ECOLI_LSU"
"374","I","1","1","H21","1","ECOLI_LSU"
"375","I","1","1","H21","1","ECOLI_LSU"
"376","I","1","1","H21","1","ECOLI_LSU"
"377","I","1","1","H21","1","ECOLI_LSU"
"378","I","1","1","H21","1","ECOLI_LSU"
"379","I","1","1","H21","1","ECOLI_LSU"
"380","I","1","1","H21","1","ECOLI_LSU"
"381","I","1","1","H21","1","ECOLI_LSU"
"382","I","1","1","H21","1","ECOLI_LSU"
"383","I","1","1","H21","1","ECOLI_LSU"
"384","I","1","1","H21","1","ECOLI_LSU"
"385","I","1","1","H21","1","ECOLI_LSU"
"386","I","1","1","H21","1","ECOLI_LSU"
"387","I","1","1","H21","1","ECOLI_LSU"
"388","I","1","1","H21","1","ECOLI_LSU"
"389","I","1","1","H21","1","ECOLI_LSU"
"390","I","1","1","H21","1","ECOLI_LSU"
"391","I","1","1","H21","1","ECOLI_LSU"
"392","I","1","1","H21","1","ECOLI_LSU"
"393","I","1","1","H21","1","ECOLI_LSU"
"394","I","1","1","H21","1","ECOLI_LSU"
"395","I","1","1","H21","1","ECOLI_LSU"
"396","I","1","1","H21","1","ECOLI_LSU"
"397","I","1","1","H21","1","ECOLI_LSU"
"398","I","1","1","H21","1","ECOLI_LSU"
"399","I","1","1","H21","1","ECOLI_LSU"
"400","I","1","1","H21","1","ECOLI_LSU"
"401","I","1","1","H21","1","ECOLI_LSU"
"402","I","1","1","H21","1","ECOLI_LSU"
"403","I","1","1","H21","1","ECOLI_LSU"
"404","I","1","1","H21","1","ECOLI_LSU"
"405","I","1","1","H22","3","ECOLI_LSU"
"406","I","1","1","H22","3","ECOLI_LSU"
"407","I","1","1","H22","3","ECOLI_LSU"
"408","I","1","1","H22","3","ECOLI_LSU"
"409","I","1","1","H22","3","ECOLI_LSU"
"410","I","1","1","H22","3","ECOLI_LSU"
"411","I","1","1","H22","3","ECOLI_LSU"
"412","I","1","1","H22","3","ECOLI_LSU"
"413","I","1","1","H22","3","ECOLI_LSU"
"414","I","1","1","H22","3","ECOLI_LSU"
"415","I","1","1","H22","3","ECOLI_LSU"
"416","I","1","1","H22","3","ECOLI_LSU"
"417","I","1","1","H22","3","ECOLI_LSU"
"418","I","1","1","H22","3","ECOLI_LSU"
"419","I","1","1","H22","3","ECOLI_LSU"
"420","I","1","1","H22","3","ECOLI_LSU"
"421","I","1","1","H22","3","ECOLI_LSU"
"422","I","1","1","H22","3","ECOLI_LSU"
"423","I","1","1","H22","3","ECOLI_LSU"
"424","I","1","1","H14","2","ECOLI_LSU"
"425","I","1","1","H14","2","ECOLI_LSU"
"426","I","1","1","H14","2","ECOLI_LSU"
"427","I","1","1","H14","2","ECOLI_LSU"
"428","I","1","1","H14","2","ECOLI_LSU"
"429","I","1","1","H14","2","ECOLI_LSU"
"430","I","1","1","H14","2","ECOLI_LSU"
"431","I","1","1","H4","4","ECOLI_LSU"
"432","I","1","1","H4","4","ECOLI_LSU"
"433","I","1","1","H4","4","ECOLI_LSU"
"434","I","1","1","H4","4","ECOLI_LSU"
"435","I","1","1","H4","4","ECOLI_LSU"
"436","I","1","1","H4","4","ECOLI_LSU"
"437","I","1","1","H4","4","ECOLI_LSU"
"438","I","1","1","H4","4","ECOLI_LSU"
"439","I","1","1","H4","4","ECOLI_LSU"
"440","I","1","1","H4","4","ECOLI_LSU"
"441","I","1","1","H4","4","ECOLI_LSU"
"442","I","1","1","H4","4","ECOLI_LSU"
"443","I","1","1","H4","4","ECOLI_LSU"
"444","I","1","1","H4","4","ECOLI_LSU"
"445","I","1","1","H4","4","ECOLI_LSU"
"446","I","1","1","H4","4","ECOLI_LSU"
"447","I","1","1","H4","4","ECOLI_LSU"
"448","I","1","1","H4","4","ECOLI_LSU"
"449","I","1","1","H4","4","ECOLI_LSU"
"450","I","1","1","H4","4","ECOLI_LSU"
"451","I","1","1","H4","4","ECOLI_LSU"
"452","I","1","1","H23","1","ECOLI_LSU"
"453","I","1","1","H23","1","ECOLI_LSU"
"454","I","1","1","H23","1","ECOLI_LSU"
"455","I","1","1","H23","1","ECOLI_LSU"
"456","I","1","1","H23","1","ECOLI_LSU"
"457","I","1","1","H23","1","ECOLI_LSU"
"458","I","1","1","H23","1","ECOLI_LSU"
"459","I","1","1","H23","1","ECOLI_LSU"
"460","I","1","1","H23","1","ECOLI_LSU"
"461","I","1","1","H23","1","ECOLI_LSU"
"462","I","1","1","H23","1","ECOLI_LSU"
"463","I","1","1","H23","1","ECOLI_LSU"
"464","I","1","1","H23","1","ECOLI_LSU"
"465","I","1","1","H23","1","ECOLI_LSU"
"466","I","1","1","H23","1","ECOLI_LSU"
"467","I","1","1","H23","1","ECOLI_LSU"
"468","I","1","1","H23","1","ECOLI_LSU"
"469","I","1","1","H23","1","ECOLI_LSU"
"470","I","1","1","H23","1","ECOLI_LSU"
"471","I","1","1","H23","1","ECOLI_LSU"
"472","I","1","1","H23","1","ECOLI_LSU"
"473","I","1","1","H3","3","ECOLI_LSU"
"474","I","1","1","H3","3","ECOLI_LSU"
"475","I","1","1","H24","4","ECOLI_LSU"
"476","I","1","1","H24","4","ECOLI_LSU"
"477","I","1","1","H24","4","ECOLI_LSU"
"478","I","1","1","H24","4","ECOLI_LSU"
"479","I","1","1","H24","4","ECOLI_LSU"
"480","I","1","1","H24","4","ECOLI_LSU"
"481","I","1","1","H24","4","ECOLI_LSU"
"482","I","1","1","H24","4","ECOLI_LSU"
"483","I","1","1","H24","4","ECOLI_LSU"
"484","I","1","1","H24","4","ECOLI_LSU"
"485","I","1","1","H24","4","ECOLI_LSU"
"486","I","1","1","H24","4","ECOLI_LSU"
"487","I","1","1","H24","4","ECOLI_LSU"
"488","I","1","1","H24","4","ECOLI_LSU"
"489","I","1","1","H24","4","ECOLI_LSU"
"490","I","1","1","H24","4","ECOLI_LSU"
"491","I","1","1","H24","4","ECOLI_LSU"
"492","I","1","1","H24","4","ECOLI_LSU"
"493","I","1","1","H24","4","ECOLI_LSU"
"494","I","1","1","H24","4","ECOLI_LSU"
"495","I","1","1","H24","4","ECOLI_LSU"
"496","I","1","1","H24","4","ECOLI_LSU"
"497","I","1","1","H24","4","ECOLI_LSU"
"498","I","1","1","H24","4","ECOLI_LSU"
"499","I","1","1","H24","4","ECOLI_LSU"
"500","I","1","1","H24","4","ECOLI_LSU"
"501","I","1","1","H24","4","ECOLI_LSU"
"502","I","1","1","H24","4","ECOLI_LSU"
"503","I","1","1","H24","4","ECOLI_LSU"
"504","I","1","1","H24","4","ECOLI_LSU"
"505","I","1","1","H24","4","ECOLI_LSU"
"506","I","1","1","H24","4","ECOLI_LSU"
"507","I","1","1","H24","4","ECOLI_LSU"
"508","I","1","1","H24","4","ECOLI_LSU"
"509","I","1","1","H24","4","ECOLI_LSU"
"510","I","1","1","H2","2","ECOLI_LSU"
"511","I","1","1","H2","2","ECOLI_LSU"
"512","I","1","1","H2","2","ECOLI_LSU"
"513","I","1","1","H2","2","ECOLI_LSU"
"514","I","1","1","H2","2","ECOLI_LSU"
"515","I","1","1","H2","2","ECOLI_LSU"
"516","I","1","1","H2","2","ECOLI_LSU"
"517","I","1","1","H2","2","ECOLI_LSU"
"518","I","1","1","H2","2","ECOLI_LSU"
"519","I","1","1","H2","2","ECOLI_LSU"
"520","I","1","1","H2","2","ECOLI_LSU"
"521","I","1","1","H2","2","ECOLI_LSU"
"522","I","1","1","H2","2","ECOLI_LSU"
"523","I","1","1","H2","2","ECOLI_LSU"
"524","I","1","1","H2","2","ECOLI_LSU"
"525","I","1","1","H2","2","ECOLI_LSU"
"526","I","1","1","H2","2","ECOLI_LSU"
"527","I","1","1","H2","2","ECOLI_LSU"
"528","I","1","1","H2","2","ECOLI_LSU"
"529","I","1","1","H2","2","ECOLI_LSU"
"530","I","1","1","H2","2","ECOLI_LSU"
"531","I","1","1","H2","2","ECOLI_LSU"
"532","I","1","1","H25","1","ECOLI_LSU"
"533","I","1","1","H25","1","ECOLI_LSU"
"534","I","1","1","H25","1","ECOLI_LSU"
"535","I","1","1","H25","1","ECOLI_LSU"
"536","I","1","1","H25","1","ECOLI_LSU"
"537","I","1","1","H25","1","ECOLI_LSU"
"538","I","1","1","H25","1","ECOLI_LSU"
"539","I","1","1","H25","1","ECOLI_LSU"
"540","I","1","1","H25","1","ECOLI_LSU"
"541","I","1","1","H25","1","ECOLI_LSU"
"542","I","1","1","H25","1","ECOLI_LSU"
"543","I","1","1","H25","1","ECOLI_LSU"
"544","I","1","1","H25","1","ECOLI_LSU"
"545","I","1","1","H25","1","ECOLI_LSU"
"546","I","1","1","H25","1","ECOLI_LSU"
"547","I","1","1","H25","1","ECOLI_LSU"
"548","I","1","1","H25","1","ECOLI_LSU"
"549","I","1","1","H25","1","ECOLI_LSU"
"550","I","1","1","H25","1","ECOLI_LSU"
"551","I","1","1","H25","1","ECOLI_LSU"
"552","I","1","1","H25","1","ECOLI_LSU"
"553","I","1","1","H25","1","ECOLI_LSU"
"554","I","1","1","H25","1","ECOLI_LSU"
"555","I","1","1","H25","1","ECOLI_LSU"
